date,price
Jan-00,39.81
Feb-00,36.35
Mar-00,43.22
Apr-00,28.37
May-00,25.45
Jun-00,32.54
Jul-00,28.4
Aug-00,28.4
Sep-00,24.53
Oct-00,28.02
Nov-00,23.34
Dec-00,17.65
Jan-01,24.84
Feb-01,24
Mar-01,22.25
Apr-01,27.56
May-01,28.14
Jun-01,29.7
Jul-01,26.93
Aug-01,23.21
Sep-01,20.82
Oct-01,23.65
Nov-01,26.12
Dec-01,26.95
Jan-02,25.92
Feb-02,23.73
Mar-02,24.53
Apr-02,21.26
May-02,20.71
Jun-02,22.25
Jul-02,19.52
Aug-02,19.97
Sep-02,17.79
Oct-02,21.75
Nov-02,23.46
Dec-02,21.03
Jan-03,19.31
Feb-03,19.34
Mar-03,19.76
Apr-03,20.87
May-03,20.09
Jun-03,20.93
Jul-03,21.56
Aug-03,21.65
Sep-03,22.69
Oct-03,21.45
Nov-03,21.1
Dec-03,22.46
Jan-04,22.69
Feb-04,21.77
Mar-04,20.46
Apr-04,21.45
May-04,21.53
Jun-04,23.44
Jul-04,23.38
Aug-04,22.47
Sep-04,22.76
Oct-04,23.02
Nov-04,24.6
Dec-04,24.52
Jan-05,24.11
Feb-05,23.15
Mar-05,22.24
Apr-05,23.28
May-05,23.82
Jun-05,22.93
Jul-05,23.64
Aug-05,25.35
Sep-05,23.83
Oct-05,23.8
Nov-05,25.71
Dec-05,24.29
Jan-06,26.14
Feb-06,25.04
Mar-06,25.36
Apr-06,22.5
May-06,21.19
Jun-06,21.8
Jul-06,22.51
Aug-06,24.13
Sep-06,25.68
Oct-06,26.96
Nov-06,27.66
Dec-06,28.13
Jan-07,29.07
Feb-07,26.63
Mar-07,26.35
Apr-07,28.3
May-07,29.11
Jun-07,27.95
Jul-07,27.5
Aug-07,27.34
Sep-07,28.04
Oct-07,35.03
Nov-07,32.09
Dec-07,34
Jan-08,31.13
Feb-08,26.07
Mar-08,27.21
Apr-08,27.34
May-08,27.25
Jun-08,26.47
Jul-08,24.75
Aug-08,26.36
Sep-08,25.78
Oct-08,21.57
Nov-08,19.66
Dec-08,18.91
Jan-09,16.63
Feb-09,15.81
Mar-09,17.99
Apr-09,19.84
May-09,20.59
Jun-09,23.42
Jul-09,23.18
Aug-09,24.43
Sep-09,25.49
Oct-09,27.48
Nov-09,29.27
Dec-09,30.34
Jan-10,28.05
Feb-10,28.67
Mar-10,28.8
Jan-00,64.56
Feb-00,68.87
Mar-00,67
Apr-00,55.19
May-00,48.31
Jun-00,36.31
Jul-00,30.12
Aug-00,41.5
Sep-00,38.44
Oct-00,36.62
Nov-00,24.69
Dec-00,15.56
Jan-01,17.31
Feb-01,10.19
Mar-01,10.23
Apr-01,15.78
May-01,16.69
Jun-01,14.15
Jul-01,12.49
Aug-01,8.94
Sep-01,5.97
Oct-01,6.98
Nov-01,11.32
Dec-01,10.82
Jan-02,14.19
Feb-02,14.1
Mar-02,14.3
Apr-02,16.69
May-02,18.23
Jun-02,16.25
Jul-02,14.45
Aug-02,14.94
Sep-02,15.93
Oct-02,19.36
Nov-02,23.35
Dec-02,18.89
Jan-03,21.85
Feb-03,22.01
Mar-03,26.03
Apr-03,28.69
May-03,35.89
Jun-03,36.32
Jul-03,41.64
Aug-03,46.32
Sep-03,48.43
Oct-03,54.43
Nov-03,53.97
Dec-03,52.62
Jan-04,50.4
Feb-04,43.01
Mar-04,43.28
Apr-04,43.6
May-04,48.5
Jun-04,54.4
Jul-04,38.92
Aug-04,38.14
Sep-04,40.86
Oct-04,34.13
Nov-04,39.68
Dec-04,44.29
Jan-05,43.22
Feb-05,35.18
Mar-05,34.27
Apr-05,32.36
May-05,35.51
Jun-05,33.09
Jul-05,45.15
Aug-05,42.7
Sep-05,45.3
Oct-05,39.86
Nov-05,48.46
Dec-05,47.15
Jan-06,44.82
Feb-06,37.44
Mar-06,36.53
Apr-06,35.21
May-06,34.61
Jun-06,38.68
Jul-06,26.89
Aug-06,30.83
Sep-06,32.12
Oct-06,38.09
Nov-06,40.34
Dec-06,39.46
Jan-07,37.67
Feb-07,39.14
Mar-07,39.79
Apr-07,61.33
May-07,69.14
Jun-07,68.41
Jul-07,78.54
Aug-07,79.91
Sep-07,93.15
Oct-07,89.15
Nov-07,90.56
Dec-07,92.64
Jan-08,77.7
Feb-08,64.47
Mar-08,71.3
Apr-08,78.63
May-08,81.62
Jun-08,73.33
Jul-08,76.34
Aug-08,80.81
Sep-08,72.76
Oct-08,57.24
Nov-08,42.7
Dec-08,51.28
Jan-09,58.82
Feb-09,64.79
Mar-09,73.44
Apr-09,80.52
May-09,77.99
Jun-09,83.66
Jul-09,85.76
Aug-09,81.19
Sep-09,93.36
Oct-09,118.81
Nov-09,135.91
Dec-09,134.52
Jan-10,125.41
Feb-10,118.4
Mar-10,128.82
Jan-00,100.52
Feb-00,92.11
Mar-00,106.11
Apr-00,99.95
May-00,96.31
Jun-00,98.33
Jul-00,100.74
Aug-00,118.62
Sep-00,101.19
Oct-00,88.5
Nov-00,84.12
Dec-00,76.47
Jan-01,100.76
Feb-01,89.98
Mar-01,86.63
Apr-01,103.7
May-01,100.82
Jun-01,102.35
Jul-01,94.87
Aug-01,90.25
Sep-01,82.82
Oct-01,97.58
Nov-01,104.5
Dec-01,109.36
Jan-02,97.54
Feb-02,88.82
Mar-02,94.15
Apr-02,75.82
May-02,72.97
Jun-02,65.31
Jul-02,63.86
Aug-02,68.52
Sep-02,53.01
Oct-02,71.76
Nov-02,79.16
Dec-02,70.58
Jan-03,71.22
Feb-03,71.13
Mar-03,71.57
Apr-03,77.47
May-03,80.48
Jun-03,75.42
Jul-03,74.28
Aug-03,75.12
Sep-03,80.91
Oct-03,81.96
Nov-03,83.08
Dec-03,85.05
Jan-04,91.06
Feb-04,88.7
Mar-04,84.41
Apr-04,81.04
May-04,81.59
Jun-04,81.19
Jul-04,80.19
Aug-04,78.17
Sep-04,79.13
Oct-04,82.84
Nov-04,87.15
Dec-04,91.16
Jan-05,86.39
Feb-05,85.78
Mar-05,84.66
Apr-05,70.77
May-05,70.18
Jun-05,68.93
Jul-05,77.53
Aug-05,75.07
Sep-05,74.7
Oct-05,76.25
Nov-05,82.98
Dec-05,76.73
Jan-06,75.89
Feb-06,75.09
Mar-06,77.17
Apr-06,77.05
May-06,75.04
Jun-06,72.15
Jul-06,72.7
Aug-06,76.35
Sep-06,77.26
Oct-06,87.06
Nov-06,86.95
Dec-06,91.9
Jan-07,93.79
Feb-07,88.18
Mar-07,89.44
Apr-07,96.98
May-07,101.54
Jun-07,100.25
Jul-07,105.4
Aug-07,111.54
Sep-07,112.6
Oct-07,111
Nov-07,100.9
Dec-07,103.7
Jan-08,102.75
Feb-08,109.64
Mar-08,110.87
Apr-08,116.23
May-08,125.14
Jun-08,114.6
Jul-08,123.74
Aug-08,118.16
Sep-08,113.53
Oct-08,90.24
Nov-08,79.65
Dec-08,82.15
Jan-09,89.46
Feb-09,90.32
Mar-09,95.09
Apr-09,101.29
May-09,104.85
Jun-09,103.01
Jul-09,116.34
Aug-09,117
Sep-09,118.55
Oct-09,119.54
Nov-09,125.79
Dec-09,130.32
Jan-10,121.85
Feb-10,127.16
Mar-10,125.55
Jan-00,25.94
Feb-00,28.66
Mar-00,33.95
Apr-00,31.01
May-00,21
Jun-00,26.19
Jul-00,25.41
Aug-00,30.47
Sep-00,12.88
Oct-00,9.78
Nov-00,8.25
Dec-00,7.44
Jan-01,10.81
Feb-01,9.12
Mar-01,11.03
Apr-01,12.74
May-01,9.98
Jun-01,11.62
Jul-01,9.4
Aug-01,9.27
Sep-01,7.76
Oct-01,8.78
Nov-01,10.65
Dec-01,10.95
Jan-02,12.36
Feb-02,10.85
Mar-02,11.84
Apr-02,12.14
May-02,11.65
Jun-02,8.86
Jul-02,7.63
Aug-02,7.38
Sep-02,7.25
Oct-02,8.03
Nov-02,7.75
Dec-02,7.16
Jan-03,7.18
Feb-03,7.51
Mar-03,7.07
Apr-03,7.11
May-03,8.98
Jun-03,9.53
Jul-03,10.54
Aug-03,11.31
Sep-03,10.36
Oct-03,11.44
Nov-03,10.45
Dec-03,10.69
Jan-04,11.28
Feb-04,11.96
Mar-04,13.52
Apr-04,12.89
May-04,14.03
Jun-04,16.27
Jul-04,16.17
Aug-04,17.25
Sep-04,19.38
Oct-04,26.2
Nov-04,33.53
Dec-04,32.2
Jan-05,38.45
Feb-05,44.86
Mar-05,41.67
Apr-05,36.06
May-05,39.76
Jun-05,36.81
Jul-05,42.65
Aug-05,46.89
Sep-05,53.61
Oct-05,57.59
Nov-05,67.82
Dec-05,71.89
Jan-06,75.51
Feb-06,68.49
Mar-06,62.72
Apr-06,70.39
May-06,59.77
Jun-06,57.27
Jul-06,67.96
Aug-06,67.85
Sep-06,76.98
Oct-06,81.08
Nov-06,91.66
Dec-06,84.84
Jan-07,85.73
Feb-07,84.61
Mar-07,92.91
Apr-07,99.8
May-07,121.19
Jun-07,122.04
Jul-07,131.76
Aug-07,138.48
Sep-07,153.47
Oct-07,189.95
Nov-07,182.22
Dec-07,198.08
Jan-08,135.36
Feb-08,125.02
Mar-08,143.5
Apr-08,173.95
May-08,188.75
Jun-08,167.44
Jul-08,158.95
Aug-08,169.53
Sep-08,113.66
Oct-08,107.59
Nov-08,92.67
Dec-08,85.35
Jan-09,90.13
Feb-09,89.31
Mar-09,105.12
Apr-09,125.83
May-09,135.81
Jun-09,142.43
Jul-09,163.39
Aug-09,168.21
Sep-09,185.35
Oct-09,188.5
Nov-09,199.91
Dec-09,210.73
Jan-10,192.06
Feb-10,204.62
Mar-10,223.02
